,Name,Chain,Category,Locked (USD),1 Day %
1,Aave,Multichain,Lending,$14.38B,7.26%
2,InstaDApp,Ethereum,Lending,$9.48B,3.01%
3,Compound,Ethereum,Lending,$9.40B,3.94%
4,Curve Finance,Multichain,DEXes,$8.84B,2.19%
5,Maker,Ethereum,Lending,$8.14B,3.61%
6,Uniswap,Ethereum,DEXes,$6.14B,2.62%
7,Convex Finance,Ethereum,Assets,$4.82B,0.07%
8,SushiSwap,Ethereum,DEXes,$3.43B,5.97%
9,yearn.finance,Ethereum,Assets,$3.41B,0.81%
10,Liquity,Ethereum,Lending,$2.15B,3.68%
11,Balancer,Ethereum,DEXes,$1.54B,-0.32%
12,Bancor,Ethereum,DEXes,$1.48B,3.50%
13,Synthetix,Ethereum,Derivatives,$1.45B,-1.86%
14,Flexa,Ethereum,Payments,$1.41B,-2.89%
15,Quickswap,Polygon,DEXes,$1.11B,0.41%
16,Alpha Homora,Ethereum,Lending,$1.08B,3.13%
17,Tornado Cash,Ethereum,Payments,$735.7M,4.32%
18,Fei Protocol,Ethereum,Assets,$673.9M,4.57%
19,RenVM,Ethereum,Assets,$543.4M,3.47%
20,C.R.E.A.M. Finance,Ethereum,Lending,$526.3M,-0.01%
21,Badger DAO,Ethereum,Assets,$504.2M,-0.19%
22,Vesper,Ethereum,Assets,$457.3M,0.40%
23,Alchemix,Ethereum,Lending,$455.9M,0.78%
24,Nexus Mutual,Ethereum,Derivatives,$455.8M,4.21%
25,TrueFi,Ethereum,Lending,$451.5M,110.32%
26,Harvest Finance,Ethereum,Assets,$398.1M,1.28%
27,Kyber,Ethereum,DEXes,$372.7M,0.47%
28,DeFi Saver,Ethereum,Lending,$334.1M,-4.23%
29,Sablier,Ethereum,Payments,$318.0M,-1.27%
30,BarnBridge,Ethereum,Derivatives,$257.1M,-0.34%
31,Set Protocol,Ethereum,Assets,$224.6M,6.29%
32,dYdX,Ethereum,Derivatives,$207.0M,4.04%
33,Saddle,Ethereum,DEXes,$199.5M,4.89%
34,Enzyme Finance,Ethereum,Assets,$187.8M,3.81%
35,Index Coop,Ethereum,Assets,$181.1M,6.90%
36,Idle Finance,Ethereum,Lending,$170.5M,2.68%
37,O3 Swap,Ethereum,Assets,$157.7M,3.60%
38,Reflexer,Ethereum,Lending,$140.4M,16.38%
39,xDai,Ethereum,Payments,$140.0M,0.38%
40,Pickle Finance,Ethereum,Assets,$135.7M,0.79%
41,KEEP Network,Ethereum,Assets,$133.2M,2.42%
42,Loopring,Ethereum,DEXes,$119.7M,2.04%
43,UMA,Ethereum,Derivatives,$105.6M,2.72%
44,Opyn,Ethereum,Derivatives,$96.2M,2.46%
45,Ribbon Finance,Ethereum,Derivatives,$92.4M,1.15%
46,Lightning Network,Bitcoin,Payments,$82.7M,1.12%
47,Olympus,Ethereum,Assets,$76.3M,1.46%
48,DODO,Ethereum,DEXes,$69.4M,-0.43%
49,Metronome,Ethereum,Assets,$67.5M,3.40%
50,mStable,Ethereum,Assets,$61.0M,0.76%
51,Integral,Ethereum,DEXes,$56.0M,-33.69%
52,DefiDollar,Ethereum,Assets,$50.2M,-3.11%
53,DeFi Swap,Ethereum,DEXes,$49.9M,1.66%
54,HEGIC,Ethereum,Derivatives,$48.1M,3.66%
55,B.Protocol,Ethereum,Lending,$40.0M,12.00%
56,DerivaDEX,Ethereum,Derivatives,$38.6M,-0.96%
57,dForce,Ethereum,Lending,$37.7M,8.13%
58,1inch Liquidity Protocol,Ethereum,DEXes,$37.4M,3.16%
59,BiFi,Ethereum,Lending,$28.2M,1.26%
60,Gnosis,Ethereum,DEXes,$25.8M,2.93%
61,Bella Flex Saving,Ethereum,Assets,$25.0M,-0.71%
62,88mph,Ethereum,Lending,$23.9M,1.78%
63,Swerve Finance,Ethereum,DEXes,$23.6M,-0.88%
64,DeversiFi,Ethereum,DEXes,$22.3M,2.65%
65,bZx,Ethereum,Lending,$22.1M,-5.36%
66,WePiggy,Ethereum,Lending,$18.6M,1.02%
67,Inverse,Ethereum,Assets,$18.5M,-0.04%
68,dHEDGE,Ethereum,Assets,$18.0M,-5.33%
69,IDEX,Ethereum,DEXes,$14.7M,1.59%
70,DFX Finance,Ethereum,DEXes,$13.9M,-2.54%
71,KeeperDAO,Ethereum,Lending,$13.0M,2.11%
72,Erasure,Ethereum,Derivatives,$12.6M,0.50%
73,Notional,Ethereum,Lending,$12.1M,1.23%
74,Mushrooms Finance,Ethereum,Assets,$11.9M,-0.44%
75,Shell,Ethereum,DEXes,$11.9M,-0.94%
76,Cryptex,Ethereum,Derivatives,$10.6M,4.16%
77,Wing Finance,Ethereum,Lending,$10.4M,0.26%
78,Ruler Protocol,Ethereum,Lending,$9.7M,-2.10%
79,OnX Finance,Ethereum,Lending,$9.3M,3.05%
80,Siren,Ethereum,Derivatives,$8.6M,1.56%
81,DDEX,Ethereum,Lending,$8.3M,3.29%
82,PowerIndex,Ethereum,DEXes,$6.8M,7.52%
83,PerlinX,Ethereum,Derivatives,$6.0M,13.23%
84,Warp Finance,Ethereum,Lending,$5.4M,59.06%
85,yAxis,Ethereum,Assets,$5.4M,-1.29%
86,DeFireX,Ethereum,Assets,$5.3M,-0.48%
